iri,label,definition,type
http://purl.obolibrary.org/obo/BFO_0000003,occurrent,(Elucidation) An occurrent is an entity that unfolds itself in time or it is the start or end of such an entity or it is a temporal or spatiotemporal region,class
http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,b is an independent continuant =Def b is a continuant & there is no c such that b specifically depends on c or b generically depends on c,class
http://purl.obolibrary.org/obo/BFO_0000006,spatial region,(Elucidation) A spatial region is a continuant entity that is a continuant part of the spatial projection of a portion of spacetime at a given time,class
http://purl.obolibrary.org/obo/BFO_0000008,temporal region,(Elucidation) A temporal region is an occurrent over which processes can unfold,class
http://purl.obolibrary.org/obo/BFO_0000009,two-dimensional spatial region,(Elucidation) A two-dimensional spatial region is a spatial region that is a whole consisting of a surface together with zero or more surfaces which may have spatial regions of lower dimension as parts,class
http://purl.obolibrary.org/obo/BFO_0000011,spatiotemporal region,(Elucidation) A spatiotemporal region is an occurrent that is an occurrent part of spacetime,class
http://purl.obolibrary.org/obo/BFO_0000015,process,"(Elucidation) p is a process means p is an occurrent that has some temporal proper part and for some time t, p has some material entity as participant",class
http://purl.obolibrary.org/obo/BFO_0000016,disposition,(Elucidation) A disposition b is a realizable entity such that if b ceases to exist then its bearer is physically changed & b's realization occurs when and because this bearer is in some special physical circumstances & this realization occurs in virtue of the bearer's physical make-up,class
http://purl.obolibrary.org/obo/BFO_0000017,realizable entity,(Elucidation) A realizable entity is a specifically dependent continuant that inheres in some independent continuant which is not a spatial region & which is of a type some instances of which are realized in processes of a correlated type,class
http://purl.obolibrary.org/obo/BFO_0000018,zero-dimensional spatial region,(Elucidation) A zero-dimensional spatial region is one or a collection of more than one spatially disjoint points in space,class
http://purl.obolibrary.org/obo/BFO_0000019,quality,"(Elucidation) A quality is a specifically dependent continuant that, in contrast to roles and dispositions, does not require any further process in order to be realized",class
http://purl.obolibrary.org/obo/BFO_0000020,specifically dependent continuant,b is a specifically dependent continuant =Def b is a continuant & there is some independent continuant c which is not a spatial region & which is such that b specifically depends on c,class
http://purl.obolibrary.org/obo/BFO_0000023,role,"(Elucidation) A role b is a realizable entity such that b exists because there is some single bearer that is in some special physical, social, or institutional set of circumstances in which this bearer does not have to be & b is not such that, if it ceases to exist, then the physical make-up of the bearer is thereby changed",class
http://purl.obolibrary.org/obo/BFO_0000024,fiat object part,(Elucidation) A fiat object part b is a material entity & such that if b exists then it is continuant part of some object c & demarcated from the remainder of c by one or more fiat surfaces,class
http://purl.obolibrary.org/obo/BFO_0000026,one-dimensional spatial region,(Elucidation) A one-dimensional spatial region is a whole consisting of a line together with zero or more lines which may have points as parts,class
http://purl.obolibrary.org/obo/BFO_0000027,object aggregate,(Elucidation) An object aggregate is a material entity consisting exactly of a plurality (≥1) of objects as member parts which together form a unit,class
http://purl.obolibrary.org/obo/BFO_0000028,three-dimensional spatial region,(Elucidation) A three-dimensional spatial region is a whole consisting of a spatial volume together with zero or more spatial volumes which may have spatial regions of lower dimension as parts,class
http://purl.obolibrary.org/obo/BFO_0000029,site,(Elucidation) A site is a three-dimensional immaterial entity whose boundaries either (partially or wholly) coincide with the boundaries of one or more material entities or have locations determined in relation to some material entity,class
http://purl.obolibrary.org/obo/BFO_0000030,object,(Elucidation) An object is a material entity which manifests causal unity & is of a type instances of which are maximal relative to the sort of causal unity manifested,class
http://purl.obolibrary.org/obo/BFO_0000031,generically dependent continuant,(Elucidation) A generically dependent continuant is an entity that exists in virtue of the fact that there is at least one of what may be multiple copies which is the content or the pattern that multiple copies would share,class
http://purl.obolibrary.org/obo/BFO_0000034,function,(Elucidation) A function is a disposition that exists in virtue of its bearer's physical make-up & this physical make-up is something the bearer possesses because it came into being either through evolution (in the case of natural biological entities) or through intentional design (in the case of artefacts) in order to realize processes of a certain sort,class
http://purl.obolibrary.org/obo/BFO_0000035,process boundary,p is a process boundary =Def p is a temporal part of a process & p has no proper temporal parts,class
http://purl.obolibrary.org/obo/BFO_0000038,one-dimensional temporal region,(Elucidation) A one-dimensional temporal region is a temporal region that is a whole that has a temporal interval and zero or more temporal intervals and temporal instants as parts,class
http://purl.obolibrary.org/obo/BFO_0000040,material entity,(Elucidation) A material entity is an independent continuant that at all times at which it exists has some portion of matter as continuant part,class
http://purl.obolibrary.org/obo/BFO_0000140,continuant fiat boundary,"(Elucidation) A continuant fiat boundary b is an immaterial entity that is of zero, one or two dimensions & such that there is no time t when b has a spatial region as continuant part & whose location is determined in relation to some material entity",class
http://purl.obolibrary.org/obo/BFO_0000141,immaterial entity,b is an immaterial entity =Def b is an independent continuant which is such that there is no time t when it has a material entity as continuant part,class
http://purl.obolibrary.org/obo/BFO_0000142,fiat line,(Elucidation) A fiat line is a one-dimensional continuant fiat boundary that is continuous,class
http://purl.obolibrary.org/obo/BFO_0000145,relational quality,b is a relational quality =Def b is a quality & there exists c and d such that c and d are not identical & b specifically depends on c & b specifically depends on d,class
http://purl.obolibrary.org/obo/BFO_0000146,fiat surface,(Elucidation) A fiat surface is a two-dimensional continuant fiat boundary that is self-connected,class
http://purl.obolibrary.org/obo/BFO_0000147,fiat point,(Elucidation) A fiat point is a zero-dimensional continuant fiat boundary that consists of a single point,class
http://purl.obolibrary.org/obo/BFO_0000148,zero-dimensional temporal region,(Elucidation) A zero-dimensional temporal region is a temporal region that is a whole consisting of one or more separated temporal instants as parts,class
http://purl.obolibrary.org/obo/BFO_0000182,history,(Elucidation) A history is a process that is the sum of the totality of processes taking place in the spatiotemporal region occupied by the material part of a material entity,class
http://purl.obolibrary.org/obo/BFO_0000202,temporal interval,"(Elucidation) A temporal interval is a one-dimensional temporal region that is continuous, thus without gaps or breaks",class
http://purl.obolibrary.org/obo/BFO_0000203,temporal instant,(Elucidation) A temporal instant is a zero-dimensional temporal region that has no proper temporal part,class
http://purl.obolibrary.org/obo/BFO_0000054,has realization,b has realization c =Def c realizes b,property
http://purl.obolibrary.org/obo/BFO_0000055,realizes,"(Elucidation) realizes is a relation between a process b and realizable entity c such that c inheres in some d & for all t, if b has participant d then c exists & the type instantiated by b is correlated with the type instantiated by c",property
http://purl.obolibrary.org/obo/BFO_0000056,participates in,(Elucidation) participates in holds between some b that is either a specifically dependent continuant or generically dependent continuant or independent continuant that is not a spatial region & some process p such that b participates in p some way,property
http://purl.obolibrary.org/obo/BFO_0000057,has participant,p has participant c =Def c participates in p,property
http://purl.obolibrary.org/obo/BFO_0000058,is concretized by,c is concretized by b =Def b concretizes c,property
http://purl.obolibrary.org/obo/BFO_0000059,concretizes,b concretizes c =Def b is a process or a specifically dependent continuant & c is a generically dependent continuant & there is some time t such that c is the pattern or content which b shares at t with actual or potential copies,property
http://purl.obolibrary.org/obo/BFO_0000062,preceded by,b preceded by c =Def b precedes c,property
http://purl.obolibrary.org/obo/BFO_0000063,precedes,"(Elucidation) precedes is a relation between occurrents o, o' such that if t is the temporal extent of o & t' is the temporal extent of o' then either the last instant of o is before the first instant of o' or the last instant of o is the first instant of o' & neither o nor o' are temporal instants",property
http://purl.obolibrary.org/obo/BFO_0000066,occurs in,"b occurs in c =Def b is a process or a process boundary & c is a material entity or site & there exists a spatiotemporal region r & b occupies spatiotemporal region r & for all time t, if b exists at t then c exists at t & there exist spatial regions s and s' where b spatially projects onto s at t & c occupies spatial region s' at t & s is a continuant part of s' at t",property
http://purl.obolibrary.org/obo/BFO_0000084,generically depends on,b generically depends on c =Def b is a generically dependent continuant & c is an independent continuant that is not a spatial region & at some time t there inheres in c a specifically dependent continuant which concretizes b at t,property
http://purl.obolibrary.org/obo/BFO_0000101,is carrier of,b is carrier of c =Def there is some time t such that c generically depends on b at t,property
http://purl.obolibrary.org/obo/BFO_0000108,exists at,(Elucidation) exists at is a relation between a particular and some temporal region at which the particular exists,property
http://purl.obolibrary.org/obo/BFO_0000115,has member part,b has member part c =Def c member part of b,property
http://purl.obolibrary.org/obo/BFO_0000117,has occurrent part,b has occurrent part c =Def c occurrent part of b,property
http://purl.obolibrary.org/obo/BFO_0000121,has temporal part,b has temporal part c =Def c temporal part of b,property
http://purl.obolibrary.org/obo/BFO_0000124,location of,b location of c =Def c located in b,property
http://purl.obolibrary.org/obo/BFO_0000127,material basis of,b material basis of c =Def c has material basis b,property
http://purl.obolibrary.org/obo/BFO_0000129,member part of,"b member part of c =Def b is an object & c is a material entity & there is some time t such that b continuant part of c at t & there is a mutually exhaustive and pairwise disjoint partition of c into objects x1, ..., xn (for some n ≠ 1) with b = xi (for some 1 <= i <= n)",property
http://purl.obolibrary.org/obo/BFO_0000132,occurrent part of,(Elucidation) occurrent part of is a relation between occurrents b and c when b is part of c,property
http://purl.obolibrary.org/obo/BFO_0000139,temporal part of,b temporal part of c =Def b occurrent part of c & (b and c are temporal regions) or (b and c are spatiotemporal regions & b temporally projects onto an occurrent part of the temporal region that c temporally projects onto) or (b and c are processes or process boundaries & b occupies a temporal region that is an occurrent part of the temporal region that c occupies),property
http://purl.obolibrary.org/obo/BFO_0000153,temporally projects onto,(Elucidation) temporally projects onto is a relation between a spatiotemporal region s and some temporal region which is the temporal extent of s,property
http://purl.obolibrary.org/obo/BFO_0000171,located in,b located in c =Def b is an independent continuant & c is an independent & neither is a spatial region & there is some time t such that the spatial region which b occupies at t is continuant part of the spatial region which c occupies at t,property
http://purl.obolibrary.org/obo/BFO_0000176,continuant part of,b continuant part of c =Def b and c are continuants & there is some time t such that b and c exist at t & b continuant part of c at t,property
http://purl.obolibrary.org/obo/BFO_0000178,has continuant part,b has continuant part c =Def c continuant part of b,property
http://purl.obolibrary.org/obo/BFO_0000183,environs,b environs c =Def c occurs in b,property
http://purl.obolibrary.org/obo/BFO_0000184,history of,(Elucidation) history of is a relation between history b and material entity c such that b is the unique history of c,property
http://purl.obolibrary.org/obo/BFO_0000185,has history,b has history c =Def c history of b,property
http://purl.obolibrary.org/obo/BFO_0000194,specifically depended on by,b specifically depended on by c =Def c specifically depends on b,property
http://purl.obolibrary.org/obo/BFO_0000195,specifically depends on,(Elucidation) specifically depends on is a relation between a specifically dependent continuant b and specifically dependent continuant or independent continuant that is not a spatial region c such that b and c share no parts in common & b is of a nature such that at all times t it cannot exist unless c exists & b is not a boundary of c,property
http://purl.obolibrary.org/obo/BFO_0000196,bearer of,b bearer of c =Def c inheres in b,property
http://purl.obolibrary.org/obo/BFO_0000197,inheres in,b inheres in c =Def b is a specifically dependent continuant & c is an independent continuant that is not a spatial region & b specifically depends on c,property
http://purl.obolibrary.org/obo/BFO_0000199,occupies temporal region,p occupies temporal region t =Def p is a process or process boundary & the spatiotemporal region occupied by p temporally projects onto t,property
http://purl.obolibrary.org/obo/BFO_0000200,occupies spatiotemporal region,(Elucidation) occupies spatiotemporal region is a relation between a process or process boundary p and the spatiotemporal region s which is its spatiotemporal extent,property
http://purl.obolibrary.org/obo/BFO_0000210,occupies spatial region,b occupies spatial region r =Def b is an independent continuant that is not a spatial region & r is a spatial region & there is some time t such that every continuant part of b occupies some continuant part of r at t and no continuant part of b occupies any spatial region that is not a continuant part of r at t,property
http://purl.obolibrary.org/obo/BFO_0000216,spatially projects onto,"(Elucidation) spatially projects onto is a relation between some spatiotemporal region b and spatial region c such that at some time t, c is the spatial extent of b at t",property
http://purl.obolibrary.org/obo/BFO_0000218,has material basis,b has material basis c =Def b is a disposition & c is a material entity & there is some d bearer of b & there is some time t such that c is a continuant part of d at t & d has disposition b because c is a continuant part of d at t,property
http://purl.obolibrary.org/obo/BFO_0000221,first instant of,t first instant of t' =Def t is a temporal instant & t' is a temporal region t' & t precedes all temporal parts of t' other than t,property
http://purl.obolibrary.org/obo/BFO_0000222,has first instant,t has first instant t' =Def t' first instant of t,property
http://purl.obolibrary.org/obo/BFO_0000223,last instant of,t last instant of t' =Def t is a temporal instant & t' is a temporal region & all temporal parts of t' other than t precede t,property
http://purl.obolibrary.org/obo/BFO_0000224,has last instant,t has last instant t' =Def t' last instant of t,property
https://www.commoncoreontologies.org/ont00001775,is successor of,A continuant c2 is a successor of some continuant c1 iff there is some process p1 and c1 is an input to p1 and c2 is an output of p1. Inverse of is predecessor. ,property
https://www.commoncoreontologies.org/ont00001777,has process part,"x has_process_part y iff x and y are instances of Process, such that y occurs during the temporal interval of x, and y either provides an input to x or receives an output of x, or both.",property
https://www.commoncoreontologies.org/ont00001778,has object,"If p is a process and c is a continuant, then p has object c if and only if p is performed by an agent and c is part of the projected state that agent intends to achieve by performing p.",property
https://www.commoncoreontologies.org/ont00001779,has inside instant,"For Temporal Interval t1 and Temporal Instant t2, t1 has inside instant t2 if and only if there exists Temporal Instants t3 and t4 that are part of t1 and non-identical with t2, such that t3 is before t2 and t4 is after t2.",property
https://www.commoncoreontologies.org/ont00001782,has all members located in,"x has all members located in y iff x is an instance of Object Aggregate and y is an instance of independent continuant but not a spatial region, and every member of x is located in y.",property
https://www.commoncoreontologies.org/ont00001787,agent in,"x agent_in y iff y is an instance of Process and x is an instance of Agent, such that x is causally active in y.",property
https://www.commoncoreontologies.org/ont00001791,coincides with,An immaterial entity im1 coincides with some immaterial entity im2 iff im1 is a spatial part of im2 and im2 is a spatial part of im1.,property
https://www.commoncoreontologies.org/ont00001794,has subsidiary,An Organization o1 has_subsidiary Organization o2 iff o1 controls o2 by having the capacity to determine the outcome of decisions about o2's financial and operating policies.,property
https://www.commoncoreontologies.org/ont00001795,has inside interval,"A Temporal Interval INT2 has inside interval some Temporal Interval INT1 iff there exist Temporal Instants inst1, inst2, inst3, and inst4 such that inst1 is the starting instant of INT1, inst2 is the ending instant of INT1, inst3 is the starting instant of INT2, inst4 is the ending instant of INT2, inst3 is before inst1, and inst2 is before inst4.",property
https://www.commoncoreontologies.org/ont00001796,tangential part of,An immaterial entity im1 is a tangential part of some immaterial entity im2 iff im1 is a spatial part of im2 and there exists some immaterial entity im3 such that im3 externally connects with im1 and im3 externally connects with im2.,property
https://www.commoncoreontologies.org/ont00001797,partially overlaps with,An immaterial entity im1 partially overlaps with some immaterial entity im2 iff im1 overlaps with im2 and im1 is not a spatial part of im2 and im2 is not a spatial part of im1.,property
https://www.commoncoreontologies.org/ont00001798,is supervised by,"A person p1 is supervised by a person p2 by virtue of p1 being directed, managed, or overseen by p2.",property
https://www.commoncoreontologies.org/ont00001799,role of aggregate,"x role_of_aggregate y iff y is an instance of Object Aggregate and x is an instance of Role, and x inheres_in_aggregate y.",property
https://www.commoncoreontologies.org/ont00001800,prohibits,"x prohibits y at t iff: x is an instance of Process Regulation at time t, and y is an instance of Process at time t, and x prescribes that some y must not occur.",property
https://www.commoncoreontologies.org/ont00001801,is subject of,A primitive relationship between an instance of an Entity and an instance of an Information Content Entity.,property
https://www.commoncoreontologies.org/ont00001803,is cause of,"x is_cause_of y iff x and y are instances of Occurrent, and y is a consequence of x.",property
https://www.commoncoreontologies.org/ont00001805,is disrupted by,Inverse of disrupts.,property
https://www.commoncoreontologies.org/ont00001807,is required by,"y is_required_by x at t iff: x is an instance of Process Regulation at time t, and y is an instance of Process at time t, and x prescribes that y must occur.",property
https://www.commoncoreontologies.org/ont00001808,is about,A primitive relationship between an Information Content Entity and some Entity.,property
https://www.commoncoreontologies.org/ont00001809,inheres in aggregate,"x inheres_in_aggregate y iff x is an instance of Specifically Dependent Continuant and y is an instance of Object Aggregate and z is an instance of Object, such that z bearer_of x, and all other members of y are bearers of a unique instance of the same type as x.",property
https://www.commoncoreontologies.org/ont00001810,connected with,An immaterial entity im1 is connected with some immaterial entity im2 iff there exists some immaterial entity im3 that is common to both im1 and im2.,property
https://www.commoncoreontologies.org/ont00001811,is a ordinal measurement of,"x is_a_ordinal_measurement_of y iff x is an instance of Information Content Entity and y is an instance of Entity, such that x describes some attribute of y relative to a scale ordered by rank.",property
https://www.commoncoreontologies.org/ont00001813,uses,"x uses y iff x is an instance of an Agent and y is an instance of a Material Entity, such that both x and y participate in some instance of a Process wherein x attempts to accomplish a goal by manipulating, deploying, or leveraging some attribute of y.",property
https://www.commoncoreontologies.org/ont00001814,interval finishes,"A Temporal Interval INT1 finishes some Temporal Interval INT2 iff there exists Temporal Instants inst1, inst2, and inst3 such that inst 1 is the starting instant of INT1, inst2 is the ending instant of both INT1 and INT2, inst3 is the starting instant of INT2, and inst3 is before inst1.",property
https://www.commoncoreontologies.org/ont00001815,is subsidiary of,An Organization o2 is_subsidiary_of Organization o1 iff o1 controls o2 by having the capacity to determine the outcome of decisions about o2's financial and operating policies. ,property
https://www.commoncoreontologies.org/ont00001816,is output of,"x is_output_of y iff x is an instance of Continuant and y is an instance of Process, such that the presence of x at the end of y is a necessary condition for the completion of y.",property
https://www.commoncoreontologies.org/ont00001817,is prohibited by,"y is_prohibited_by y at t iff: x is an instance of Process Regulation at time t, and y is an instance of Process at time t, and x prescribes that y must not occur.",property
https://www.commoncoreontologies.org/ont00001819,caused by,"x caused_by y iff x and y are instances of Occurrent, and x is a consequence of y.",property
https://www.commoncoreontologies.org/ont00001821,interval finished by,"A Temporal Interval INT2 is finished by some Temporal Interval INT1 iff there exists Temporal Instants inst1, inst2, and inst3 such that inst 1 is the starting instant of INT1, inst2 is the ending instant of both INT1 and INT2, inst3 is the starting instant of INT2, and inst3 is before inst1.",property
https://www.commoncoreontologies.org/ont00001822,interval equals,A Temporal Interval INT1 is equal to some Temporal Interval INT2 iff there exists Temporal Instants inst1 and inst2 such that inst1 is the starting instant of both INT1 and INT2 and inst2 is the ending instant of both INT1 and INT2.,property
https://www.commoncoreontologies.org/ont00001824,is excerpted from,"An Information Bearing Entity b1 is excerpted from another Information Bearing Entity B2 iff b1 is part of some Information Bearing Entity B1 that is carrier of some Information Content Entity C1, B2 is carrier of some Information Content Entity C2, C1 is not identical with C2, b1 is carrier of some Information Content Entity c1, b2 is an Information Bearing Entity that is part of B2 and b2 is carrier of c1 (i.e. the same Information Content Entity as borne by b1).",property
https://www.commoncoreontologies.org/ont00001825,interval overlaps,"A Temporal Interval INT1 overlaps some Temporal Interval INT2 iff there exist Temporal Instants inst1, inst2, inst3, inst4 such that inst1 is the starting instant of INT1, inst2 is the ending instant of INT1, inst3 is the starting instant of INT2, inst4 is the ending instant of INT2, inst1 is before inst3, inst3 is before inst2, and inst2 is before inst4.",property
https://www.commoncoreontologies.org/ont00001827,nontangential part of,An immaterial entity im1 is a nontangential part of some immaterial entity im2 iff im1 is a spatial part of im2 and there does not exist an immaterial entity im3 such that im3 externally connects with im1 and im3 externally connects with im2.,property
https://www.commoncoreontologies.org/ont00001829,disposition of aggregate,"x disposition_of_aggregate y iff y is an instance of Object Aggregate and x is an instance of Disposition, and x inheres_in_aggregate y.",property
https://www.commoncoreontologies.org/ont00001830,has accomplice,"A Processual Entity p1 has_accomplice some agent a1 iff a1 assists in the commission of p1, is located at the location of p1, but is not agent_in p1.",property
https://www.commoncoreontologies.org/ont00001831,is subordinate role to,"For all x,y,t: y is subordinate role to x at t iff: x is an instance of Role at time t, and y is an instance of Role at time t, and there is some z such that x is realized by z and z is an instance of Process which creates, modifies, transfers, or eliminates some u such that u is a Process Regulation at time t, and u is addressed to the bearer of y.",property
https://www.commoncoreontologies.org/ont00001832,has some member located in,"x has some member located in y iff x is an instance of Object Aggregate and y is an instance of independent continuant but not a spatial region, and at least one member of x is located in y.",property
https://www.commoncoreontologies.org/ont00001833,has agent,"x has_agent y iff x is an instance of Process and y is an instance of Agent, such that y is causally active in x.",property
https://www.commoncoreontologies.org/ont00001834,affects,"x affects y iff x is an instance of Process and y is an instance of Continuant, and x influences y in some manner, most often by producing a change in y.",property
https://www.commoncoreontologies.org/ont00001836,aggregate bearer of,"x aggregate_bearer_of y iff x is an instance of Object Aggregate and y is an instance of Specifically Dependent Continuant and z is an instance of Object, such that z bearer of y, and all other members of x are bearers of a unique instance of the same type as y.",property
https://www.commoncoreontologies.org/ont00001837,time zone identifier used by,"x time_zone_identifier_used_by y iff y is an instance of Information Bearing Entity and x is an instance of Time Zone Identifier, such that x designates the spatial region associated with the time zone mentioned in y.",property
https://www.commoncoreontologies.org/ont00001838,disconnected with,An immaterial entity im1 is disconnected with some immaterial entity im2 iff there does not exist some immaterial entity im3 that is common to both im1 and im2.,property
https://www.commoncoreontologies.org/ont00001841,is input of,"x is_input_of y iff x is an instance of Continuant and y is an instance of Process, such that the presence of x at the beginning of y is a necessary condition for the start of y.",property
https://www.commoncoreontologies.org/ont00001843,is paternal first cousin of,Person A is paternal first cousin of Person B iff Person B has father F and F has sibling P and P is parent of Person A.,property
https://www.commoncoreontologies.org/ont00001844,has sender,"y has_sender x iff x is an instance of Agent and y is an instance of Act Of Communication, such that x is the initiator and encoder of the InformationContentEntity intended for communication in y.",property
https://www.commoncoreontologies.org/ont00001845,is site of,"x is_site_of y iff x is an instance of Site and y is an instance of Process, such that y occurs in x.",property
https://www.commoncoreontologies.org/ont00001846,is organizational context of,"x is_organizational_context_of y iff x is an instance of an Organization and y is an instance of a Role and z is an instance of a Person, such that z's affiliation with x is a prerequisite for z bearing y, or x ascribes y to the bearer of y.",property
https://www.commoncoreontologies.org/ont00001847,interval is after,"A TemporalInterval INT2 is after some TemporalInterval INT1 iff there exists TemporalInstants inst2, inst1 such that inst2 is the starting instant of INT2 and inst1 is the ending instant of INT1 and inst2 is after inst1.",property
https://www.commoncoreontologies.org/ont00001848,is inside instant of,"For Temporal Instant t1 and Temporal Interval t2, t1 is inside instant of t2 if and only if there are Temporal Instants t3 and t4 non-identical to t1 and part of t2 such that t3 is before t1 and t4 is after t1.",property
